251,-0.000309
257,-0.000158
259,-0.000302
263,-0.000122
266,-0.000183
270,-0.0000909
274,-0.000230
275,-0.000288
275,-0.000132
282,-0.000145
289,-0.0000855
289,-0.0000904
290,-0.000180
297,0.000151
297,0.000168
299,-0.000120
302,0.000159
304,-0.0000789
306,-0.0000855
312,0.000548
312,0.00178
313,0.00401
313,0.00505
314,0.00339
314,0.000845
315,0.000191
315,0.0000387
316,0.0000207
316,-0.000000375
317,0.0000447
319,0.0000440
327,0.000176
334,0.00183
335,0.00186
335,0.000900
336,0.000571
336,0.000532
342,0.000783
349,0.00102
357,0.00129
363,0.00484
364,0.00871
364,0.0210
365,0.0447
365,0.0610
366,0.0370
366,0.0211
367,0.0145
367,0.00846
368,0.00188
369,0.00147
370,0.00133
372,0.00115
375,0.00105
379,0.00160
380,0.00168
387,0.000764
391,0.000867
394,0.000543
394,0.000547
402,0.00257
402,0.00479
403,0.0127
403,0.0335
404,0.0586
404,0.0860
405,0.153
405,0.130
406,0.0306
406,0.00952
407,0.00751
407,0.00849
408,0.0109
408,0.0165
408,0.00960
409,0.00196
410,0.00175
410,0.00184
411,0.00197
413,0.00209
417,0.00256
424,0.00324
432,0.00633
433,0.00817
433,0.0105
434,0.0156
434,0.0320
435,0.0847
435,0.179
435,0.260
436,0.379
436,0.275
437,0.0655
437,0.0234
438,0.0141
438,0.0108
439,0.00937
439,0.00855
440,0.00778
441,0.00733
443,0.00704
444,0.00701
447,0.00713
453,0.00736
454,0.00727
462,0.00687
467,0.00703
469,0.00620
476,0.00576
482,0.0139
483,0.0199
483,0.0239
484,0.0284
485,0.0379
485,0.0433
486,0.0493
486,0.0548
487,0.0578
4870,0584
487,0.0575
488,0.0551
488,0.0521
489,0.0451
490,0.0422
490,0.0401
491,0.0389
491,0.0385
492,0.0361
493,0.0335
493,0.0315
494,0.0281
495,0.0253
499,0.0160
506,0.00591
513,0.00546
521,0.00420
525,0.00371
528,0.00419
532,0.00664
533,0.00920
533,0.0126
534,0.0144
534,0.0130
534,0.0111
535,0.0110
535,0.0122
536,0.0144
536,0.0177
537,0.0232
537,0.0313
538,0.0400
538,0.0468
539,0.0523
539,0.0613
540,0.0795
540,0.109
540,0.148
541,0.205
541,0.278
542,0.314
542,0.289
543,0.248
543,0.226
544,0.223
544,0.228
545,0.234
545,0.256
546,0.374
546,0.580
546,0.531
547,0.313
547,0.218
548,0.186
548,0.164
549,0.145
549,0.127
550,0.112
550,0.0996
551,0.0758
552,0.0658
552,0.0572
552,0.0503
553,0.0442
553,0.0390
554,0.0347
555,0.0215
556,0.0186
556,0.0164
557,0.0146
557,0.0118
559,0.00843
561,0.00686
565,0.00510
572,0.00293
572,0.00296
576,0.00882
576,0.0200
577,0.0654
577,0.0998
578,0.0565
578,0.0291
579,0.0403
579,0.0914
579,0.0915
580,0.0548
580,0.0571
581,0.0520
581,0.0403
582,0.0415
582,0.0493
583,0.0567
583,0.0610
584,0.0626
5840,0620
584,0.0597
585,0.0573
586,0.0551
587,0.0711
587,0.106
588,0.115
588,0.0817
589,0.0549
589,0.0427
589,0.0373
590,0.0355
590,0.0366
591,0.0396
591,0.0434
592,0.0489
592,0.0592
593,0.0768
593,0.0941
594,0.0904
594,0.0684
594,0.0490
595,0.0382
595,0.0331
596,0.0310
596,0.0307
597,0.0304
598,0.0315
598,0.0362
599,0.0439
599,0.0537
600,0.0611
600,0.0600
600,0.0510
601,0.0408
601,0.0331
602,0.0277
602,0.0237
603,0.0212
603,0.0204
604,0.0210
604,0.0223
605,0.0246
606,0.0282
606,0.0314
607,0.0357
607,0.0415
608,0.0493
608,0.0601
609,0.0756
609,0.0992
610,0.136
610,0.204
610,0.346
611,0.650
611,1
612,0.941
612,0.631
613,0.434
613,0.349
614,0.301
614,0.274
615,0.259
615,0.232
615,0.191
616,0.148
616,0.115
617,0.0932
617,0.0777
618,0.0668
618,0.0593
619,0.0543
619,0.0511
620,0.0498
620,0.0501
620,0.0520
621,0.0547
622,0.0539
622,0.0540
623,0.0561
623,0.0600
624,0.0630
624,0.0643
625,0.0648
625,0.0655
626,0.0674
627,0.0669
627,0.0653
628,0.0629
628,0.0612
629,0.0604
629,0.0608
630,0.0637
630,0.0731
630,0.0941
631,0.124
631,0.132
632,0.0997
632,0.0624
633,0.0401
633,0.0289
634,0.0231
634,0.0198
635,0.0177
635,0.0164
636,0.0144
638,0.0115
641,0.00940
641,0.00942
645,0.0100
649,0.0116
649,0.0146
650,0.0221
650,0.0354
651,0.0403
651,0.0317
652,0.0176
653,0.0169
653,0.0194
654,0.0193
6540,0160
654,0.0134
655,0.0120
655,0.0112
656,0.0106
657,0.0102
657,0.0108
658,0.0122
658,0.0132
659,0.0118
659,0.00963
659,0.00835
660,0.00778
660,0.00746
661,0.00745
661,0.00833
662,0.0115
662,0.0189
663,0.0259
663,0.0233
663,0.0171
664,0.0133
664,0.0108
665,0.00913
665,0.00818
666,0.00770
667,0.00765
670,0.00674
674,0.00571
677,0.00510
681,0.00708
683,0.00604
686,0.00731
686,0.00858
686,0.0110
687,0.0152
687,0.0207
688,0.0241
688,0.0226
689,0.0177
689,0.0127
690,0.00924
690,0.00714
691,0.00664
691,0.00683
691,0.00533
692,0.00446
692,0.00463
693,0.00615
693,0.0109
694,0.0189
694,0.0189
695,0.0120
695,0.00688
695,0.00470
696,0.00395
696,0.00366
697,0.00277
698,0.00240
703,0.00465
704,0.00712
704,0.00938
704,0.0108
705,0.0162
706,0.0234
706,0.0343
707,0.0479
707,0.0571
708,0.0539
708,0.0435
708,0.0437
709,0.0641
709,0.0706
710,0.0484
710,0.0276
711,0.0193
711,0.0204
712,0.0310
712,0.0497
713,0.0589
713,0.0492
713,0.0296
714,0.0160
714,0.00940
715,0.00635
715,0.00472
716,0.00375
716,0.00317
717,0.00250
721,0.00168
724,0.00137
731,0.00112
736,0.000774
738,0.00154
739,0.00132
739,0.001000
742,0.00211
743,0.00279
743,0.00241
744,0.00178
746,0.000861
749,0.000556
751,0.00153
751,0.00157
753,0.000696
759,0.000280
760,0.000287
763,0.00121
763,0.00276
764,0.00268
764,0.00172
765,0.000500
766,0.000369
767,0.000337
768,0.000330
773,0.00160
773,0.00128
774,0.000597
781,0.000177
788,0.000103
791,0.0000948
795,0.000905
795,0.000897
798,0.000173
801,0.00135
802,0.00125
802,0.000653
809,0.000211
810,0.000463
810,0.00115
811,0.00256
811,0.00371
812,0.00344
812,0.00312
813,0.00129
813,0.000534
813,0.000332
814,0.000253
815,0.000176
817,0.000141
8170,000140
821,0.000357
824,0.000164
827,0.000708
831,0.000107
832,0.0000923
838,0.000137
841,0.00114
841,0.00160
842,0.00153
843,0.00188
843,0.000911
844,0.000418
845,0.000215
847,0.000162
852,0.000601
853,0.000666
858,0.0000350
859,0.0000523
863,0.000264
866,0.000102
873,-0.00000341
876,0.0000256
880,-0.00000900
886,-0.0000245
887,-0.0000138
889,-0.0000115